date,close_price
24-JUL-2024,24413.5
25-JUL-2024,24406.1
26-JUL-2024,24834.85
29-JUL-2024,24836.1
30-JUL-2024,24857.3
31-JUL-2024,24951.15
01-AUG-2024,25010.9
02-AUG-2024,24717.7
05-AUG-2024,24055.6
06-AUG-2024,23992.55
07-AUG-2024,24297.5
08-AUG-2024,24117
09-AUG-2024,24367.5
12-AUG-2024,24347
13-AUG-2024,24139
14-AUG-2024,24143.75
16-AUG-2024,24541.15
19-AUG-2024,24572.65
20-AUG-2024,24698.85
21-AUG-2024,24770.2
22-AUG-2024,24811.5
23-AUG-2024,24823.15
26-AUG-2024,25010.6
27-AUG-2024,25017.75
28-AUG-2024,25052.35
29-AUG-2024,25151.95
30-AUG-2024,25235.9
02-SEP-2024,25278.7
03-SEP-2024,25279.85
04-SEP-2024,25198.7
05-SEP-2024,25145.1
06-SEP-2024,24852.15
09-SEP-2024,24936.4
10-SEP-2024,25041.1
11-SEP-2024,24918.45
12-SEP-2024,25388.9
13-SEP-2024,25356.5
16-SEP-2024,25383.75
17-SEP-2024,25418.55
18-SEP-2024,25377.55
19-SEP-2024,25415.8
20-SEP-2024,25790.95
23-SEP-2024,25939.05
24-SEP-2024,25940.4
25-SEP-2024,26004.15
26-SEP-2024,26216.05
27-SEP-2024,26178.95
30-SEP-2024,25810.85
01-OCT-2024,25796.9
03-OCT-2024,25250.1
04-OCT-2024,25014.6
07-OCT-2024,24795.75
08-OCT-2024,25013.15
09-OCT-2024,24981.95
10-OCT-2024,24998.45
11-OCT-2024,24964.25
14-OCT-2024,25127.95
15-OCT-2024,25057.35
16-OCT-2024,24971.3
17-OCT-2024,24749.85
18-OCT-2024,24854.05
21-OCT-2024,24781.1
22-OCT-2024,24472.1
23-OCT-2024,24435.5
24-OCT-2024,24399.4
25-OCT-2024,24180.8
28-OCT-2024,24339.15
29-OCT-2024,24466.85
30-OCT-2024,24340.85
31-OCT-2024,24205.35
01-NOV-2024,24304.35
04-NOV-2024,23995.35
05-NOV-2024,24213.3
06-NOV-2024,24484.05
07-NOV-2024,24199.35
08-NOV-2024,24148.2
11-NOV-2024,24141.3
12-NOV-2024,23883.45
13-NOV-2024,23559.05
14-NOV-2024,23532.7
18-NOV-2024,23453.8
19-NOV-2024,23518.5
21-NOV-2024,23349.9
22-NOV-2024,23907.25
25-NOV-2024,24221.9
26-NOV-2024,24194.5
27-NOV-2024,24274.9
28-NOV-2024,23914.15
29-NOV-2024,24131.1
02-DEC-2024,24276.05
03-DEC-2024,24457.15
04-DEC-2024,24467.45
05-DEC-2024,24708.4
06-DEC-2024,24677.8
09-DEC-2024,24619
10-DEC-2024,24610.05
11-DEC-2024,24641.8
12-DEC-2024,24548.7
13-DEC-2024,24768.3
16-DEC-2024,24668.25
17-DEC-2024,24336
18-DEC-2024,24198.85
19-DEC-2024,23951.7
20-DEC-2024,23587.5
23-DEC-2024,23753.45
24-DEC-2024,23727.65
26-DEC-2024,23750.2
27-DEC-2024,23813.4
30-DEC-2024,23644.9
31-DEC-2024,23644.8
01-JAN-2025,23742.9
02-JAN-2025,24188.65
03-JAN-2025,24004.75
06-JAN-2025,23616.05
07-JAN-2025,23707.9
08-JAN-2025,23688.95
09-JAN-2025,23526.5
10-JAN-2025,23431.5
13-JAN-2025,23085.95
14-JAN-2025,23176.05
15-JAN-2025,23213.2
16-JAN-2025,23311.8
17-JAN-2025,23203.2
20-JAN-2025,23344.75
21-JAN-2025,23024.65
22-JAN-2025,23155.35
23-JAN-2025,23205.35
24-JAN-2025,23092.2
27-JAN-2025,22829.15
28-JAN-2025,22957.25
29-JAN-2025,23163.1
30-JAN-2025,23249.5
31-JAN-2025,23508.4
01-FEB-2025,23482.15
03-FEB-2025,23361.05
04-FEB-2025,23739.25
05-FEB-2025,23696.3
06-FEB-2025,23603.35
07-FEB-2025,23559.95
10-FEB-2025,23381.6
11-FEB-2025,23071.8
12-FEB-2025,23045.25
13-FEB-2025,23031.4
14-FEB-2025,22929.25
17-FEB-2025,22959.5
18-FEB-2025,22945.3
19-FEB-2025,22932.9
20-FEB-2025,22913.15
21-FEB-2025,22795.9
24-FEB-2025,22553.35
25-FEB-2025,22547.55
27-FEB-2025,22545.05
28-FEB-2025,22124.7
03-MAR-2025,22119.3
04-MAR-2025,22082.65
05-MAR-2025,22337.3
06-MAR-2025,22544.7
07-MAR-2025,22552.5
10-MAR-2025,22460.3
11-MAR-2025,22497.9
12-MAR-2025,22470.5
13-MAR-2025,22397.2
17-MAR-2025,22508.75
18-MAR-2025,22834.3
19-MAR-2025,22907.6
20-MAR-2025,23190.65
21-MAR-2025,23350.4
24-MAR-2025,23658.35
25-MAR-2025,23668.65
26-MAR-2025,23486.85
27-MAR-2025,23591.95
28-MAR-2025,23519.35
01-APR-2025,23165.7
02-APR-2025,23332.35
03-APR-2025,23250.1
